POSTCODE,ConfirmedCaseCategory,ConfirmedCaseCount
85347,0,0
85356,1-5,1-5
85365,11-25,15
85350,26-40,38
85367,1-5,1-5
85364,Greater Than 40,72
85349,26-40,34
85352,0,0
85336,0,0
85344,Data Suppressed,Data Suppressed
85348,1-5,1-5
85328,0,0
85346,1-5,1-5
85334,0,0
85325,0,0
86406,11-25,18
86401,Greater Than 40,47
86413,1-5,1-5
86404,11-25,12
86438,0,0
86441,1-5,1-5
86436,0,0
86440,6-10,6-10
86409,26-40,31
86411,0,0
86426,0,0
86442,11-25,20
86429,0,0
85360,0,0
86433,0,0
86403,11-25,13
86444,0,0
86445,0,0
86443,0,0
86432,1-5,1-5
85607,11-25,14
85610,0,0
85621,11-25,14
85624,1-5,1-5
85639,Data Suppressed,Data Suppressed
85645,1-5,1-5
85638,1-5,1-5
85611,1-5,1-5
85603,0,0
85615,1-5,1-5
85637,0,0
85616,1-5,1-5
85648,11-25,22
85617,0,0
85601,0,0
85635,6-10,6-10
85650,6-10,6-10
85613,0,0
85646,0,0
85633,0,0
85620,0,0
85640,0,0
85634,Data Suppressed,Data Suppressed
85337,0,0
85132,Greater Than 40,114
85341,0,0
85333,0,0
85193,6-10,6-10
85321,0,0
85736,6-10,6-10
85653,11-25,14
85139,6-10,6-10
85131,Greater Than 40,72
85735,11-25,11
85658,11-25,14
85138,Greater Than 40,41
85128,11-25,18
85743,11-25,24
85145,0,0
85194,1-5,1-5
85172,1-5,1-5
85122,Greater Than 40,97
85141,1-5,1-5
85123,11-25,20
85191,1-5,1-5
85354,11-25,11
85332,0,0
85390,0,0
85326,Greater Than 40,68
85342,1-5,1-5
86332,0,0
85320,1-5,1-5
85361,11-25,11
85396,6-10,6-10
85322,0,0
85387,11-25,12
85362,0,0
85355,1-5,1-5
85340,11-25,18
85388,11-25,15
85395,26-40,30
85374,26-40,26
85343,0,0
85357,0,0
85338,Greater Than 40,45
85121,Data Suppressed,Data Suppressed
85339,Greater Than 40,65
85255,Greater Than 40,44
85256,Data Suppressed,Data Suppressed
85226,11-25,23
85259,11-25,14
85249,Greater Than 40,47
85353,Greater Than 40,78
85042,Greater Than 40,47
85043,Greater Than 40,49
85253,Greater Than 40,44
85045,6-10,6-10
85308,Greater Than 40,51
85050,11-25,24
85024,11-25,13
85041,Greater Than 40,69
85323,Greater Than 40,67
85286,26-40,40
85260,26-40,39
85009,Greater Than 40,56
85248,Greater Than 40,52
85345,Greater Than 40,89
85254,26-40,38
85281,Greater Than 40,65
85375,Greater Than 40,58
85225,Greater Than 40,84
85032,Greater Than 40,82
85379,26-40,34
85034,11-25,20
85282,Greater Than 40,41
85022,Greater Than 40,52
85351,26-40,39
85028,11-25,19
85027,26-40,33
85204,Greater Than 40,62
85373,6-10,6-10
85008,Greater Than 40,128
85392,Greater Than 40,52
85083,11-25,15
85018,Greater Than 40,42
85233,26-40,34
85040,26-40,30
85382,Greater Than 40,130
85335,Greater Than 40,46
85016,Greater Than 40,53
85258,11-25,24
85044,26-40,35
85224,Greater Than 40,168
85301,Greater Than 40,121
85201,26-40,28
85310,11-25,14
85307,6-10,6-10
85048,26-40,39
85283,Greater Than 40,52
85020,26-40,26
85037,Greater Than 40,103
85284,6-10,6-10
85029,Greater Than 40,49
85023,11-25,23
85054,11-25,13
85251,Greater Than 40,52
85021,Greater Than 40,78
85202,Greater Than 40,155
85210,26-40,32
85305,Greater Than 40,49
85381,26-40,38
85051,Greater Than 40,51
85257,Greater Than 40,117
85303,Greater Than 40,50
85033,Greater Than 40,106
85302,Greater Than 40,71
85306,11-25,14
85304,Greater Than 40,41
85035,Greater Than 40,101
85053,26-40,33
85017,Greater Than 40,47
85015,Greater Than 40,76
85309,1-5,1-5
85250,11-25,11
85378,11-25,12
85007,11-25,25
85031,Greater Than 40,66
85014,Greater Than 40,48
85006,26-40,26
85013,11-25,22
85019,26-40,33
85012,11-25,17
85003,11-25,20
85004,11-25,17
85363,26-40,31
85329,1-5,1-5
85287,0,0
85190,0,0
85118,11-25,13
85173,1-5,1-5
85142,Greater Than 40,68
85147,Data Suppressed,Data Suppressed
85215,11-25,17
85264,Data Suppressed,Data Suppressed
85140,26-40,36
85143,Greater Than 40,44
85119,11-25,16
85207,Greater Than 40,42
85212,26-40,35
85120,11-25,25
85268,26-40,26
85298,26-40,32
85295,26-40,37
85234,26-40,38
85296,11-25,24
85297,26-40,39
85209,Greater Than 40,62
85203,Greater Than 40,54
85205,Greater Than 40,75
85206,Greater Than 40,174
85213,11-25,23
85208,26-40,30
85541,6-10,6-10
86333,6-10,6-10
85324,0,0
86343,0,0
85262,11-25,13
85331,11-25,18
85383,Greater Than 40,45
85553,0,0
85087,6-10,6-10
85544,1-5,1-5
85086,26-40,30
85085,11-25,15
85266,6-10,6-10
85263,1-5,1-5
85377,1-5,1-5
85643,0,0
85546,11-25,13
85602,1-5,1-5
85632,0,0
85543,1-5,1-5
85631,1-5,1-5
85192,1-5,1-5
85641,11-25,23
85605,1-5,1-5
85534,0,0
85625,0,0
85629,26-40,34
85630,1-5,1-5
85623,1-5,1-5
85606,0,0
85619,0,0
85609,0,0
85756,Greater Than 40,60
85739,1-5,1-5
85530,Data Suppressed,Data Suppressed
85749,11-25,14
85746,Greater Than 40,79
85747,11-25,21
85618,1-5,1-5
85745,Greater Than 40,70
85614,Greater Than 40,94
85757,26-40,38
85750,11-25,18
85622,6-10,6-10
85552,1-5,1-5
85718,Greater Than 40,45
85742,11-25,20
85755,6-10,6-10
85730,Greater Than 40,42
85713,Greater Than 40,70
85704,Greater Than 40,47
85737,6-10,6-10
85748,26-40,30
85135,0,0
85707,0,0
85705,Greater Than 40,66
85706,Greater Than 40,107
85710,Greater Than 40,65
85741,Greater Than 40,56
85711,Greater Than 40,64
85719,Greater Than 40,51
85540,1-5,1-5
85716,Greater Than 40,51
85712,Greater Than 40,83
85715,11-25,19
85714,Greater Than 40,131
85701,11-25,12
85708,0,0
85531,0,0
85901,11-25,16
85550,Data Suppressed,Data Suppressed
85542,Data Suppressed,Data Suppressed
85501,6-10,6-10
85911,Data Suppressed,Data Suppressed
85545,0,0
85137,1-5,1-5
85539,0,0
85929,1-5,1-5
85935,6-10,6-10
85941,Data Suppressed,Data Suppressed
85923,0,0
85934,0,0
85554,0,0
85926,Data Suppressed,Data Suppressed
85532,1-5,1-5
85533,1-5,1-5
85938,0,0
85925,1-5,1-5
85536,1-5,1-5
85922,0,0
85920,0,0
85927,0,0
85932,0,0
85940,0,0
85930,Data Suppressed,Data Suppressed
86046,1-5,1-5
86337,0,0
86301,11-25,23
86320,1-5,1-5
86334,1-5,1-5
86305,6-10,6-10
86321,0,0
86303,1-5,1-5
86338,0,0
86323,6-10,6-10
86437,1-5,1-5
86024,0,0
86004,Greater Than 40,79
86001,26-40,34
86336,6-10,6-10
86018,0,0
86017,1-5,1-5
86326,Greater Than 40,52
86322,6-10,6-10
86327,6-10,6-10
86331,0,0
86005,11-25,17
86324,1-5,1-5
86038,0,0
86325,1-5,1-5
86315,6-10,6-10
86335,1-5,1-5
86314,11-25,23
86351,1-5,1-5
86015,1-5,1-5
86329,0,0
86021,0,0
86434,Data Suppressed,Data Suppressed
86052,0,0
86045,Data Suppressed,Data Suppressed
86020,Data Suppressed,Data Suppressed
86023,1-5,1-5
86022,0,0
86036,0,0
86040,Greater Than 40,108
86435,Data Suppressed,Data Suppressed
86016,Data Suppressed,Data Suppressed
86047,Greater Than 40,80
86505,Data Suppressed,Data Suppressed
86502,Data Suppressed,Data Suppressed
86035,Data Suppressed,Data Suppressed
85936,0,0
86025,11-25,13
85924,0,0
85937,1-5,1-5
85933,1-5,1-5
86511,Data Suppressed,Data Suppressed
85928,0,0
85931,0,0
86029,1-5,1-5
86032,1-5,1-5
85939,1-5,1-5
86515,Data Suppressed,Data Suppressed
85942,0,0
86514,Data Suppressed,Data Suppressed
86503,Data Suppressed,Data Suppressed
86510,Data Suppressed,Data Suppressed
86033,Data Suppressed,Data Suppressed
86044,Data Suppressed,Data Suppressed
86034,Data Suppressed,Data Suppressed
86538,Data Suppressed,Data Suppressed
86054,Data Suppressed,Data Suppressed
86053,Data Suppressed,Data Suppressed
86042,Data Suppressed,Data Suppressed
86030,Data Suppressed,Data Suppressed
86507,Data Suppressed,Data Suppressed
86043,Data Suppressed,Data Suppressed
86556,Data Suppressed,Data Suppressed
